timestamp,equipment_id,equipment_type,product_type,work_order_id,workpiece_id,process_code,running,spindle_speed_rpm,feed_rate_mm_min,power_kw,vibration_rms,temperature_c,pressure_mpa,vacuum_pa,coolant_flow_l_min,alarm_code,equipment_health_label
2025-01-01 00:00:00+00:00,aspherical_grinding_01,aspherical_grinding,,,,,0,26.62,7.87,2.199,0.3293,22.004,0.1477,0.103104,0.0,,0
2025-01-01 00:01:00+00:00,aspherical_grinding_01,aspherical_grinding,,,,,0,0.0,0.0,4.142,0.213,25.363,0.1171,0.137013,1.563,,0
2025-01-01 00:02:00+00:00,aspherical_grinding_01,aspherical_grinding,,,,,0,0.0,0.0,0.0,0.2437,23.882,0.0666,0.097902,0.0,,0
2025-01-01 00:03:00+00:00,aspherical_grinding_01,aspherical_grinding,,,,,0,7.06,2.49,0.756,0.2785,23.77,0.1006,0.079867,0.0,,0
2025-01-01 00:04:00+00:00,aspherical_grinding_01,aspherical_grinding,,,,,0,52.08,0.0,0.0,0.104,23.636,0.1108,0.093187,0.0,,0
2025-01-01 00:05:00+00:00,aspherical_grinding_01,aspherical_grinding,,,,,0,21.59,0.0,0.0,0.1359,23.377,0.0696,0.082927,0.0,,0
2025-01-01 00:06:00+00:00,aspherical_grinding_01,aspherical_grinding,,,,,0,0.0,0.0,0.604,0.2071,23.372,0.0921,0.100947,0.0,,0
2025-01-01 00:07:00+00:00,aspherical_grinding_01,aspherical_grinding,,,,,0,110.12,0.0,2.513,0.2599,23.8,0.1286,0.053251,0.932,,0
2025-01-01 00:08:00+00:00,aspherical_grinding_01,aspherical_grinding,,,,,0,0.0,0.0,0.98,0.0471,23.436,0.1401,0.070661,1.868,,0
2025-01-01 00:09:00+00:00,aspherical_grinding_01,aspherical_grinding,,,,,0,0.0,0.0,0.0,0.2499,23.759,0.102,0.071414,0.383,,0
2025-01-01 00:10:00+00:00,aspherical_grinding_01,aspherical_grinding,,,,,0,0.0,7.22,0.871,0.2668,23.393,0.1585,0.118546,0.0,,0
2025-01-01 00:11:00+00:00,aspherical_grinding_01,aspherical_grinding,,,,,0,27.68,0.0,0.0,0.1649,24.683,0.1313,0.110584,0.582,,0
2025-01-01 00:12:00+00:00,aspherical_grinding_01,aspherical_grinding,,,,,0,5.95,6.53,1.558,0.2664,23.296,0.1031,0.064132,0.0,,0
2025-01-01 00:13:00+00:00,aspherical_grinding_01,aspherical_grinding,,,,,0,0.0,1.67,0.0,0.3253,24.597,0.0693,0.119007,3.146,,0
