operator_id,work_order_id,workpiece_id,shift_id,skill_level,available_flag,absence_flag,assigned_process
OP_001,WO_0001,WP_0001,SHIFT_1,3,1,0,multi_process
OP_002,WO_0002,WP_0002,SHIFT_2,2,1,0,multi_process
OP_003,WO_0003,WP_0003,SHIFT_3,1,1,0,multi_process
OP_004,WO_0004,WP_0004,SHIFT_1,1,1,0,multi_process
OP_005,WO_0005,WP_0005,SHIFT_2,2,1,0,multi_process
OP_006,WO_0006,WP_0006,SHIFT_3,2,1,0,multi_process
OP_007,WO_0007,WP_0007,SHIFT_1,3,1,0,multi_process
OP_008,WO_0008,WP_0008,SHIFT_2,3,1,0,multi_process
OP_009,WO_0009,WP_0009,SHIFT_3,2,1,0,multi_process
OP_010,WO_0010,WP_0010,SHIFT_1,2,1,0,multi_process
OP_011,WO_0011,WP_0011,SHIFT_2,3,1,0,multi_process
OP_012,WO_0012,WP_0012,SHIFT_3,1,1,0,multi_process
OP_001,WO_0013,WP_0013,SHIFT_1,3,1,0,multi_process
OP_002,WO_0014,WP_0014,SHIFT_2,3,1,0,multi_process
OP_003,WO_0015,WP_0015,SHIFT_3,2,1,0,multi_process
OP_004,WO_0016,WP_0016,SHIFT_1,2,1,0,multi_process
OP_005,WO_0017,WP_0017,SHIFT_2,1,1,0,multi_process
OP_006,WO_0018,WP_0018,SHIFT_3,3,1,0,multi_process
OP_007,WO_0019,WP_0019,SHIFT_1,1,1,0,multi_process
OP_008,WO_0020,WP_0020,SHIFT_2,1,1,0,multi_process
OP_009,WO_0021,WP_0021,SHIFT_3,1,1,0,multi_process
OP_010,WO_0022,WP_0022,SHIFT_1,1,1,0,multi_process
OP_011,WO_0023,WP_0023,SHIFT_2,3,1,0,multi_process
OP_012,WO_0024,WP_0024,SHIFT_3,2,1,0,multi_process
OP_001,WO_0025,WP_0025,SHIFT_1,1,1,0,multi_process
OP_002,WO_0026,WP_0026,SHIFT_2,1,1,0,multi_process
OP_003,WO_0027,WP_0027,SHIFT_3,1,1,0,multi_process
OP_004,WO_0028,WP_0028,SHIFT_1,1,1,0,multi_process
OP_005,WO_0029,WP_0029,SHIFT_2,2,1,0,multi_process
OP_006,WO_0030,WP_0030,SHIFT_3,1,1,0,multi_process
OP_007,WO_0031,WP_0031,SHIFT_1,3,1,0,multi_process
OP_008,WO_0032,WP_0032,SHIFT_2,1,1,0,multi_process
OP_009,WO_0033,WP_0033,SHIFT_3,2,1,0,multi_process
OP_010,WO_0034,WP_0034,SHIFT_1,3,1,0,multi_process
OP_011,WO_0035,WP_0035,SHIFT_2,1,1,0,multi_process
OP_012,WO_0036,WP_0036,SHIFT_3,3,1,0,multi_process
