work_order_id,workpiece_id,product_type,process_code,inspection_time,dimension_error,surface_roughness_ra,curvature_error,thickness_error,quality_result,quality_card_flag,rework_flag,scrap_flag
WO_0001,WP_0001,single_crystal_silicon,SC01,2025-01-01 00:34:00+00:00,0.6004,0.1576,-0.9755,-0.3907,pass,0,0,0
WO_0001,WP_0001,single_crystal_silicon,SC02,2025-01-01 02:00:00+00:00,-0.6824,0.1552,0.3889,0.0198,pass,0,0,0
WO_0001,WP_0001,single_crystal_silicon,SC04,2025-01-01 03:05:00+00:00,0.7028,0.118,-0.0924,-0.2043,pass,0,0,0
WO_0001,WP_0001,single_crystal_silicon,SC06,2025-01-01 05:02:00+00:00,0.2924,0.1365,0.2154,0.6425,pass,0,0,0
WO_0001,WP_0001,single_crystal_silicon,SC08,2025-01-01 06:09:00+00:00,-0.0912,0.0864,-0.4122,0.1952,pass,0,0,0
WO_0001,WP_0001,single_crystal_silicon,SC10,2025-01-01 07:11:00+00:00,0.1857,0.1247,0.1093,0.2614,pass,0,0,0
WO_0001,WP_0001,single_crystal_silicon,SC11,2025-01-01 08:48:00+00:00,0.2313,0.1453,-0.7286,-0.0959,pass,0,0,0
WO_0001,WP_0001,single_crystal_silicon,SC13,2025-01-01 09:53:00+00:00,0.7746,0.0527,-0.1674,0.0488,pass,0,0,0
WO_0001,WP_0001,single_crystal_silicon,SC15,2025-01-01 11:29:00+00:00,0.6864,0.1123,-0.6378,-0.34,rework,0,0,0
WO_0002,WP_0002,chalcogenide_glass,CG01,2025-01-01 02:00:00+00:00,0.5524,0.1029,0.0793,0.1877,pass,0,0,0
WO_0002,WP_0002,chalcogenide_glass,CG02,2025-01-01 03:28:00+00:00,-0.2904,0.1047,-0.5979,0.1461,pass,0,0,0
WO_0002,WP_0002,chalcogenide_glass,CG03,2025-01-01 04:36:00+00:00,0.3572,0.1466,-0.0492,-0.127,pass,0,0,0
WO_0002,WP_0002,chalcogenide_glass,CG04,2025-01-01 05:29:00+00:00,-1.0582,0.0801,0.1999,-0.2716,pass,0,0,0
WO_0002,WP_0002,chalcogenide_glass,CG05,2025-01-01 07:18:00+00:00,0.59,0.0827,-0.1027,-0.285,pass,0,0,0
WO_0002,WP_0002,chalcogenide_glass,CG06,2025-01-01 08:17:00+00:00,0.3475,0.1295,-0.2971,-0.4338,pass,0,0,0
WO_0002,WP_0002,chalcogenide_glass,CG07,2025-01-01 09:41:00+00:00,0.0175,0.1841,-0.1197,-0.307,pass,0,0,0
WO_0002,WP_0002,chalcogenide_glass,CG08,2025-01-01 10:12:00+00:00,0.6681,0.1343,0.7317,-0.3566,pass,0,0,0
WO_0002,WP_0002,chalcogenide_glass,CG10,2025-01-01 11:50:00+00:00,-0.1778,0.0612,-0.5078,0.0941,pass,0,0,0
WO_0003,WP_0003,microcrystalline_glass,MG01,2025-01-01 03:45:00+00:00,-0.7916,0.0347,0.1339,-0.2439,pass,0,0,0
WO_0003,WP_0003,microcrystalline_glass,MG02,2025-01-01 05:20:00+00:00,0.8528,0.1263,-0.0793,-0.3107,pass,0,0,0
WO_0003,WP_0003,microcrystalline_glass,MG03,2025-01-01 06:35:00+00:00,0.2245,0.1907,0.0651,0.2948,pass,0,0,0
WO_0003,WP_0003,microcrystalline_glass,MG04,2025-01-01 08:15:00+00:00,-0.5802,0.2051,-0.4107,0.2515,pass,0,0,0
WO_0003,WP_0003,microcrystalline_glass,MG05,2025-01-01 08:59:00+00:00,-0.1253,0.1184,-0.3274,0.1338,rework,0,0,0
WO_0003,WP_0003,microcrystalline_glass,MG06,2025-01-01 09:53:00+00:00,0.1381,0.1832,0.08,-0.0356,pass,0,0,0
WO_0003,WP_0003,microcrystalline_glass,MG07,2025-01-01 10:55:00+00:00,-0.3287,0.1643,0.2144,0.4607,pass,0,0,0
WO_0003,WP_0003,microcrystalline_glass,MG08,2025-01-01 11:31:00+00:00,1.3207,0.1889,-0.0898,-0.115,pass,0,0,0
WO_0003,WP_0003,microcrystalline_glass,MG09,2025-01-01 12:51:00+00:00,-0.7158,0.1457,-0.1973,-0.0015,pass,0,0,0
WO_0003,WP_0003,microcrystalline_glass,MG10,2025-01-01 14:26:00+00:00,0.0725,0.1458,-1.0251,-0.0146,pass,0,0,0
WO_0003,WP_0003,microcrystalline_glass,MG11,2025-01-01 15:53:00+00:00,-0.2673,0.1566,-0.6632,0.0092,pass,0,0,0
WO_0003,WP_0003,microcrystalline_glass,MG12,2025-01-01 17:01:00+00:00,-0.2621,0.1601,0.2691,0.4012,pass,0,0,0
WO_0003,WP_0003,microcrystalline_glass,MG13,2025-01-01 18:46:00+00:00,0.194,0.1271,-0.5422,0.0271,pass,0,0,0
WO_0004,WP_0004,single_crystal_silicon,SC01,2025-01-01 05:25:00+00:00,-0.6826,0.1085,-0.7317,-0.1772,rework,0,0,0
WO_0004,WP_0004,single_crystal_silicon,SC02,2025-01-01 06:05:00+00:00,-0.5233,0.0341,-0.0813,-0.3187,pass,0,0,0
WO_0004,WP_0004,single_crystal_silicon,SC04,2025-01-01 07:33:00+00:00,-0.0754,0.0497,-0.7335,0.6388,pass,0,0,0
WO_0004,WP_0004,single_crystal_silicon,SC06,2025-01-01 08:51:00+00:00,-0.2946,0.1337,0.8643,-0.2961,pass,0,0,0
WO_0004,WP_0004,single_crystal_silicon,SC08,2025-01-01 10:15:00+00:00,-1.0999,0.1105,-0.1332,0.0697,rework,0,0,0
WO_0004,WP_0004,single_crystal_silicon,SC10,2025-01-01 11:49:00+00:00,0.0425,0.12,-0.3608,0.0949,pass,0,0,0
WO_0004,WP_0004,single_crystal_silicon,SC11,2025-01-01 12:33:00+00:00,1.2587,0.1354,-0.3815,-0.3337,pass,0,0,0
WO_0004,WP_0004,single_crystal_silicon,SC13,2025-01-01 13:36:00+00:00,0.3635,0.0756,-0.2358,0.0791,pass,0,0,0
WO_0004,WP_0004,single_crystal_silicon,SC15,2025-01-01 15:21:00+00:00,1.1772,0.0173,-0.1184,0.053,pass,0,0,0
WO_0005,WP_0005,chalcogenide_glass,CG01,2025-01-01 05:53:00+00:00,1.3819,0.0586,0.4319,-0.0986,pass,0,0,0
WO_0005,WP_0005,chalcogenide_glass,CG02,2025-01-01 06:32:00+00:00,1.04,0.1433,0.8662,0.3532,pass,0,0,0
WO_0005,WP_0005,chalcogenide_glass,CG03,2025-01-01 08:16:00+00:00,0.6624,0.1081,0.0333,-0.2092,pass,0,0,0
WO_0005,WP_0005,chalcogenide_glass,CG04,2025-01-01 08:46:00+00:00,-0.1525,0.1668,0.3754,0.5462,pass,0,0,0
WO_0005,WP_0005,chalcogenide_glass,CG05,2025-01-01 10:00:00+00:00,-0.9376,0.0993,0.7556,0.1913,pass,0,0,0
WO_0005,WP_0005,chalcogenide_glass,CG06,2025-01-01 11:36:00+00:00,-0.9732,0.0932,0.156,0.3466,pass,0,0,0
WO_0005,WP_0005,chalcogenide_glass,CG07,2025-01-01 12:42:00+00:00,0.0576,0.1366,0.8081,-0.619,pass,0,0,0
WO_0005,WP_0005,chalcogenide_glass,CG08,2025-01-01 14:19:00+00:00,1.1808,0.1347,0.4233,-0.1713,pass,0,0,0
WO_0005,WP_0005,chalcogenide_glass,CG10,2025-01-01 16:33:00+00:00,-0.6907,0.1141,-0.0763,0.115,pass,0,0,0
WO_0006,WP_0006,microcrystalline_glass,MG01,2025-01-01 07:13:00+00:00,1.1852,0.0903,-0.4111,0.0607,pass,0,0,0
WO_0006,WP_0006,microcrystalline_glass,MG02,2025-01-01 08:14:00+00:00,0.6854,0.1537,0.2771,0.6983,pass,0,0,0
WO_0006,WP_0006,microcrystalline_glass,MG03,2025-01-01 08:49:00+00:00,-0.3662,0.1243,0.6548,-0.4807,pass,0,0,0
WO_0006,WP_0006,microcrystalline_glass,MG04,2025-01-01 09:54:00+00:00,0.3517,0.141,0.1381,-0.4238,pass,0,0,0
WO_0006,WP_0006,microcrystalline_glass,MG05,2025-01-01 11:28:00+00:00,0.3675,0.1481,0.0691,0.228,pass,0,0,0
WO_0006,WP_0006,microcrystalline_glass,MG06,2025-01-01 11:56:00+00:00,-0.1437,0.1279,0.4103,-0.1181,pass,0,0,0
WO_0006,WP_0006,microcrystalline_glass,MG07,2025-01-01 12:22:00+00:00,0.6636,0.0403,-0.6482,-0.4447,pass,0,0,0
WO_0006,WP_0006,microcrystalline_glass,MG08,2025-01-01 12:56:00+00:00,-0.2279,0.1279,0.5446,0.3983,rework,0,0,0
WO_0006,WP_0006,microcrystalline_glass,MG09,2025-01-01 13:34:00+00:00,-0.0785,0.1741,0.0461,-0.2512,pass,0,0,0
WO_0006,WP_0006,microcrystalline_glass,MG10,2025-01-01 14:57:00+00:00,-0.2864,0.1521,0.8604,-0.4147,rework,0,0,0
WO_0006,WP_0006,microcrystalline_glass,MG11,2025-01-01 16:05:00+00:00,-0.1049,0.0468,0.4641,-0.1815,pass,0,0,0
WO_0006,WP_0006,microcrystalline_glass,MG12,2025-01-01 17:51:00+00:00,0.3423,0.1124,0.1643,0.1086,pass,0,0,0
WO_0006,WP_0006,microcrystalline_glass,MG13,2025-01-01 18:44:00+00:00,0.8538,0.1067,0.5573,0.115,pass,0,0,0
WO_0007,WP_0007,single_crystal_silicon,SC01,2025-01-01 09:02:00+00:00,0.0555,0.1264,0.5381,-0.2537,pass,0,0,0
WO_0007,WP_0007,single_crystal_silicon,SC02,2025-01-01 10:05:00+00:00,-0.6667,0.0564,-1.0365,-0.3352,rework,0,0,0
WO_0007,WP_0007,single_crystal_silicon,SC04,2025-01-01 11:02:00+00:00,0.2782,0.1037,-0.1422,0.0556,pass,0,0,0
WO_0007,WP_0007,single_crystal_silicon,SC06,2025-01-01 12:09:00+00:00,2.0781,0.1289,0.7166,0.0275,pass,0,0,0
WO_0007,WP_0007,single_crystal_silicon,SC08,2025-01-01 13:40:00+00:00,-0.6812,0.1466,0.5426,0.11,pass,0,0,0
